#name	zcmb	mb	dmb
04D4ih	0.93189	24.54795	0.15235
04D4im	0.74909	23.81055	0.18275
04D4jr	0.4684	22.73255	0.11785
04D4jw	0.95886	24.80665	0.17245
05D1az	0.84053	24.22255	0.1456
05D1cc	0.56276	23.2428	0.11755
05D1cl	0.82854	24.39785	0.1526
05D1dx	0.57875	23.22495	0.12065
05D1em	0.8645	24.3693	0.14625
05D1er	0.85851	24.4442	0.16535
05D1hm	0.58575	23.5694	0.1417
05D1ix	0.48881	22.8653	0.1136
05D1ke	0.68866	23.6132	0.1518
05D2ab	0.32454	21.79365	0.10225
05D2ah	0.18538	20.4558	0.10405
05D2bt	0.68196	23.59755	0.1484
05D2bw	0.92223	24.355	0.1708
05D2cb	0.42866	22.751	0.1294
05D2ck	0.69998	23.95255	0.2153
05D2dt	0.57584	23.38495	0.13845
05D2dy	0.51176	23.11305	0.1165
05D2ec	0.64191	23.62155	0.1659
05D2hc	0.35157	22.2272	0.1136
05D2ie	0.34957	22.14445	0.11065
05D2mp	0.35527	22.23665	0.113
05D2nn	0.87217	24.3402	0.1332
05D2ob	0.92624	24.7687	0.10935
05D3cf	0.41957	22.59095	0.12095
05D3cq	0.89073	24.1804	0.14085
05D3dd	0.48057	22.7752	0.1151
05D3gp	0.5806	23.36785	0.1608
05D3ha	0.80569	24.09575	0.1555
05D3hs	0.66464	23.6337	0.1611
05D3jb	0.74566	24.00735	0.1527
05D3jk	0.73669	23.77845	0.1399
05D3jr	0.37053	22.04575	0.11295
05D3kp	0.85073	24.31865	0.1304
05D3kx	0.21946	20.8469	0.1023
05D3lb	0.64764	23.6259	0.1613
05D3lr	0.6006	23.4022	0.15455
05D3mn	0.7607	23.92525	0.14995
05D3mx	0.47057	22.804	0.1221
05D4af	0.49737	22.9275	0.13225
05D4av	0.50736	22.9705	0.1253
05D4bf	0.58728	23.44375	0.14055
05D4bj	0.69915	23.77905	0.15635
05D4cn	0.76108	24.05415	0.16035
05D4cs	0.78805	24.1069	0.13815
05D4dt	0.40547	22.564	0.11045
05D4dy	0.80804	24.55735	0.16345
05D4ej	0.58328	23.6081	0.12955
05D4ev	0.72013	24.0226	0.19335
05D4fg	0.83699	24.3054	0.1427
05D4gw	0.80603	24.2544	0.1837
06D2bk	0.50074	23.0505	0.13595
06D2cc	0.53378	22.9345	0.1665
06D2ce	0.82212	24.1676	0.18525
06D2fb	0.12531	19.4684	0.10355
06D2gb	0.44368	22.57415	0.1349
06D3cc	0.68366	23.9441	0.2905
06D3do	0.72668	23.90005	0.1628
06D3ed	0.40455	22.44625	0.1075
06D3em	0.69065	23.7527	0.18375
06D3et	0.57661	23.2437	0.1229
06D3gh	0.72068	23.87645	0.2029
06D4bo	0.55031	23.16815	0.1249
06D4ce	0.84797	24.3105	0.16975
06D4co	0.43544	22.36675	0.109
06D4dh	0.30158	21.64245	0.0939
03D1aw	0.58073	23.52355	0.1372
03D1bp	0.34593	22.11525	0.111
03D1fc	0.33094	21.7829	0.10685
03D3aw	0.44956	22.78895	0.14135
03D3ba	0.29172	21.47215	0.12535
03D3cd	0.46127	22.62945	0.13775
03D4at	0.63222	23.66065	0.20445
03D4cj	0.26862	21.1762	0.0993
03D4cy	0.92491	24.7416	0.1923
03D4dh	0.62522	23.46015	0.1303
03D4dy	0.60825	23.3767	0.1266
03D4gf	0.57828	23.2373	0.13895
04D1aj	0.71963	23.82525	0.2057
04D1de	0.7666	24.24705	0.1593
04D1hd	0.36791	22.24455	0.1019
04D1hy	0.84852	24.33175	0.14855
04D1jd	0.7766	24.0942	0.17835
04D1kj	0.58375	23.2686	0.09915
04D1oh	0.58873	23.30085	0.13005
04D1pc	0.76859	24.2078	0.16885
04D1pg	0.5138	23.12745	0.1329
04D1pu	0.63771	23.37	0.2329
04D1rh	0.43487	22.5623	0.1145
04D1sa	0.58375	23.46355	0.14025
04D1sk	0.66206	23.74875	0.17955
04D2an	0.62189	23.4108	0.1628
04D2fp	0.41664	22.5154	0.11755
04D2gb	0.45169	22.36265	0.1377
04D2gp	0.73401	24.04855	0.24055
04D2ja	0.74202	24.26275	0.21515
04D2mc	0.34957	21.74	0.12
04D2mj	0.51476	23.18845	0.1355
04D3cy	0.64364	23.60755	0.1943
04D3df	0.47058	22.65205	0.12925
04D3ez	0.26349	21.15515	0.1079
04D3fq	0.7427	23.92255	0.19885
04D3gx	0.91075	24.6116	0.16365
04D3kr	0.33753	21.9137	0.10655
04D3lp	0.98377	24.92305	0.1439
04D3mk	0.81369	24.26675	0.14105
04D3nc	0.81773	24.3431	0.12085
04D3nr	0.96075	24.5736	0.1577
04D3oe	0.75669	24.03965	0.1583
04D4bk	0.87796	24.42165	0.14325
04D4dm	0.80902	24.20795	0.1668
04D4fx	0.62723	23.4134	0.138
04D4hf	0.93389	24.7653	0.2009
04D4ib	0.69715	23.78265	0.16195
04D4id	0.76706	24.3849	0.17855
04D4ii	0.86397	24.39625	0.15285
04D4in	0.51434	22.98745	0.11725
04D4ju	0.47039	23.1005	0.141
04D4jy	0.9279	24.7789	0.1829
05D1cb	0.63071	23.4092	0.1432
05D1ck	0.6157	23.56625	0.1433
05D1dn	0.56475	23.2891	0.13595
05D1ee	0.55775	23.2494	0.1349
05D1eo	0.73561	24.06925	0.19205
05D1hk	0.26199	21.15835	0.1082
05D1if	0.76159	23.97575	0.15445
05D1iz	0.85852	24.54425	0.17845
05D1kl	0.55875	23.6061	0.15165
05D2ac	0.48072	22.74835	0.1138
05D2ay	0.92224	24.57175	0.18725
05D2bv	0.47572	22.6952	0.109
05D2by	0.8932	24.5781	0.1577
05D2ci	0.6319	23.1617	0.17705
05D2ct	0.73602	24.02845	0.2108
05D2dw	0.41865	22.38625	0.1152
05D2eb	0.53578	22.98355	0.1266
05D2fq	0.73501	24.09175	0.17825
05D2he	0.60987	23.5447	0.14865
05D2le	0.70198	23.8387	0.16475
05D2my	0.9833	24.78095	0.143
05D2nt	0.75905	24.0557	0.15165
05D3ax	0.64364	23.6045	0.2013
05D3ci	0.51559	23.02365	0.1762
05D3cx	0.80569	24.0139	0.1301
05D3dh	0.8007	23.82255	0.1606
05D3gv	0.71565	23.84395	0.19425
05D3hh	0.76668	24.2307	0.1806
05D3ht	0.90173	24.5128	0.1511
05D3jh	0.71868	23.68915	0.15095
05D3jq	0.5796	23.1779	0.1197
05D3km	0.96074	24.80925	0.14255
05D3kt	0.64864	23.53665	0.159
05D3la	0.93675	24.4717	0.1405
05D3lc	0.46156	22.76265	0.11115
05D3mh	0.67065	23.78495	0.1775
05D3mq	0.24649	21.16055	0.10805
05D4ag	0.63822	23.49005	0.184
05D4be	0.53532	23.06945	0.11085
05D4bi	0.77307	24.17605	0.17625
05D4bm	0.3705	22.15255	0.1043
05D4cq	0.69916	23.88895	0.1728
05D4cw	0.3735	22.11185	0.1039
05D4dw	0.85298	24.3052	0.1508
05D4ef	0.60326	23.58805	0.1429
05D4ek	0.53433	22.9223	0.1289
05D4ff	0.40048	22.2601	0.1151
05D4fo	0.3715	22.20135	0.10745
05D4hn	0.83999	24.0253	0.15175
06D2ca	0.53278	23.059	0.11385
06D2cd	0.93225	24.704	0.21015
06D2ck	0.55381	23.2838	0.1242
06D2ga	0.84214	24.3261	0.1858
06D3bz	0.72767	23.8687	0.19785
06D3df	0.44255	22.67285	0.1137
06D3dt	0.28251	21.5746	0.1073
06D3el	0.51961	23.03865	0.109
06D3en	1.0608	24.6873	0.16415
06D3fp	0.26849	21.24725	0.1051
06D3gn	0.2505	21.1763	0.1114
06D4ba	0.69816	23.7924	0.2171
06D4bw	0.73012	23.7684	0.19115
06D4cl	0.99781	24.6122	0.0953
06D4cq	0.40946	22.451	0.10895
744	0.12679	19.5429	0.11965
1112	0.25577	21.3344	0.1818
1241	0.08859	18.64345	0.10605
1371	0.11782	19.19345	0.0991
1580	0.18356	20.2951	0.1284
1794	0.14055	19.871	0.11635
2031	0.15171	19.7933	0.10325
2102	0.094	18.889	0.10285
2165	0.28631	21.6827	0.1504
2422	0.26318	21.3576	0.14295
2635	0.14167	19.79675	0.1047
2689	0.16053	19.9329	0.1156
2916	0.1229	19.3948	0.11665
2992	0.1262	19.36855	0.113
3080	0.17331	20.15345	0.09925
3087	0.16448	20.03175	0.1083
3317	0.16018	19.92285	0.11045
3377	0.24488	20.86815	0.1298
3451	0.24805	20.98175	0.13435
4046	0.27511	21.37075	0.15505
4241	0.33015	21.9321	0.1589
4679	0.3307	21.82885	0.1481
5103	0.1604	19.98615	0.10955
5533	0.21861	20.87005	0.13435
5549	0.12005	19.36835	0.1021
5635	0.17818	20.72835	0.1286
5957	0.279	21.50115	0.13265
5994	0.18562	20.48365	0.1298
6057	0.06641	17.9881	0.1134
6108	0.25769	21.2775	0.14285
6196	0.27946	21.2773	0.1398
6315	0.2655	21.0609	0.1301
6422	0.18478	20.37525	0.1056
6558	0.05715	17.65695	0.1072
6924	0.32601	21.6733	0.1464
7147	0.10902	19.1721	0.10285
7243	0.20299	20.7001	0.1382
7779	0.37949	22.13745	0.1395
7847	0.21198	20.68915	0.12295
8495	0.21327	20.78295	0.1364
8921	0.14393	19.83575	0.113
9032	0.25218	21.1678	0.16095
9457	0.25641	21.2758	0.1749
9467	0.2186	20.976	0.1685
12779	0.07883	18.5397	0.12205
12781	0.08328	18.7438	0.11605
12856	0.17008	20.2489	0.107
12881	0.23643	20.87655	0.14325
12883	0.30538	21.3803	0.19765
12898	0.08286	18.5179	0.1055
12927	0.18905	20.2039	0.1187
12950	0.08162	18.511	0.10425
12972	0.25626	21.2564	0.16145
13005	0.12631	19.58525	0.13485
13038	0.1028	19.16175	0.1443
13044	0.1244	19.4784	0.1006
13136	0.37003	22.46065	0.1636
13152	0.20192	20.38595	0.11475
13254	0.18004	20.68245	0.14335
13411	0.16163	20.1359	0.1299
13578	0.22644	20.8771	0.141
13610	0.29649	21.4449	0.1446
13689	0.24999	21.20115	0.13305
13736	0.14864	19.91815	0.1063
13796	0.14711	19.776	0.10335
14019	0.2149	21.20185	0.1483
14024	0.14462	19.8106	0.13965
14108	0.13226	19.9293	0.1333
14331	0.2195	21.00055	0.1346
14397	0.38447	22.40575	0.14945
14421	0.1742	20.3461	0.1115
14451	0.17772	20.20345	0.1224
14735	0.29911	21.51975	0.1301
14871	0.1187	19.44875	0.1339
14979	0.17685	20.2397	0.106
15057	0.24526	21.3752	0.1882
15129	0.1959	20.54825	0.11935
15161	0.24832	21.09655	0.1326
15213	0.30617	21.77705	0.16135
15219	0.24616	21.1569	0.13055
15234	0.13527	19.9671	0.1135
15259	0.21028	20.6402	0.1335
15287	0.23603	21.1547	0.12315
15301	0.17831	20.37535	0.1134
15354	0.22043	20.81795	0.15445
15383	0.31468	21.8201	0.1572
15421	0.1846	20.55175	0.1118
15440	0.2611	21.2036	0.13865
15443	0.18122	20.21145	0.10535
15456	0.38003	22.03255	0.1506
15461	0.1846	20.38765	0.1082
15467	0.20824	20.65465	0.12075
15583	0.17746	20.33625	0.12905
15776	0.31555	21.7168	0.15355
15868	0.24954	21.1676	0.1247
15901	0.20324	20.6509	0.11955
16021	0.12347	19.4198	0.10285
16032	0.20314	20.64385	0.12035
16073	0.15352	20.1226	0.10495
16093	0.33398	21.9349	0.1592
16099	0.19582	20.5286	0.1151
16106	0.24943	21.0769	0.14445
16116	0.1549	20.0251	0.1063
16165	0.15625	19.98785	0.12595
16206	0.15819	19.81685	0.12375
16211	0.309	21.8114	0.19685
16213	0.24828	21.1261	0.1388
16281	0.18484	20.31575	0.1235
17168	0.18353	20.5074	0.1247
17215	0.18212	20.37965	0.13765
17218	0.17675	20.28545	0.129
17220	0.17748	20.0718	0.12115
17240	0.0718	18.0121	0.1254
17366	0.13796	19.66285	0.10475
17389	0.16941	20.46515	0.1317
17464	0.24527	20.7198	0.14705
17497	0.14406	19.81665	0.10485
17552	0.25163	21.2338	0.1462
17784	0.03743	16.7708	0.1166
17791	0.27716	21.8807	0.2055
17809	0.28712	21.2668	0.1491
17811	0.19845	20.61015	0.13895
17825	0.16031	20.07605	0.129
17875	0.21053	21.0136	0.15075
17884	0.23753	21.0147	0.1316
18030	0.15499	20.14265	0.11795
18241	0.0939	18.94955	0.14945
18323	0.15253	20.08555	0.11355
18325	0.25693	21.2741	0.1446
18466	0.21231	20.80065	0.1303
18486	0.24583	20.88445	0.13085
18602	0.13679	19.76485	0.11075
18617	0.32529	21.9051	0.1809
18697	0.10643	19.09035	0.10245
18721	0.4008	22.30585	0.1602
18749	0.1891	20.4864	0.13035
18804	0.19731	20.4352	0.1122
18809	0.12783	19.5616	0.132
18835	0.12291	19.44025	0.1033
